issue_id,level,pdb_id,cluster_v2_id,issue_type,status,required_user_or_future_input,current_handling
U001,candidate,1A9M,1A9M_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U002,candidate,1A9M,1A9M_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U003,candidate,1FAP,1FAP_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U004,candidate,1FAP,1FAP_V2C006,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U005,candidate,1HIH,1HIH_V2C006,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U006,candidate,1HSG,1HSG_V2C010,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U007,candidate,1SHL,1SHL_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U008,candidate,1SHL,1SHL_V2C005,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U009,candidate,1SHL,1SHL_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U010,candidate,1TCO,1TCO_V2C004,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U011,candidate,4W9H,4W9H_V2C005,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U012,candidate,4W9H,4W9H_V2C002,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U013,candidate,5J89,5J89_V2C003,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U014,candidate,5J89,5J89_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U015,candidate,5LGE,5LGE_V2C006,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U016,candidate,5LGE,5LGE_V2C017,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U017,candidate,5LGE,5LGE_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U018,candidate,5NIU,5NIU_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U019,candidate,5NIU,5NIU_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U020,candidate,5NIU,5NIU_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U021,candidate,5TBM,5TBM_V2C001,automated_label_or_boundary_unresolved,A_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U022,candidate,5TBM,5TBM_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U023,candidate,6E3S,6E3S_V2C005,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U024,candidate,6R3K,6R3K_V2C002,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U025,candidate,6R3K,6R3K_V2C005,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U026,candidate,6R3K,6R3K_V2C010,automated_label_or_boundary_unresolved,R_auto|QC_possible_overmerge,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U027,candidate,6WKQ,6WKQ_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U028,candidate,7JRA,7JRA_V2C006,automated_label_or_boundary_unresolved,A_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U029,candidate,7JRA,7JRA_V2C007,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U030,candidate,8P1O,8P1O_V2C001,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U031,candidate,8P1O,8P1O_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U032,candidate,8P1O,8P1O_V2C012,automated_label_or_boundary_unresolved,R_auto|QC_insufficient_evidence,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U033,candidate,8SE5,8SE5_V2C003,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U034,target,1SHL,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U035,target,7BEA,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U036,target,7O2I,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U037,target,8EA7,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U038,target,8P1O,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U039,target,8SE5,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U040,target,1A9M,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U041,target,1FAP,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U042,target,1HIH,,reference_region_split_across_multiple_cluster_v2_boundaries,3_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U043,target,1SHL,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U044,target,1TCO,,reference_region_split_across_multiple_cluster_v2_boundaries,4_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U045,target,4W9H,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U046,target,5J89,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U047,target,5LGE,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U048,target,5NIU,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U049,target,6R3K,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U050,target,7JRA,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U051,target,7O2I,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U052,target,8EA7,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U053,target,8P1O,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U054,target,8SE5,,reference_region_split_across_multiple_cluster_v2_boundaries,3_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U055,target,1A9M,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U056,target,1A9M,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U057,target,1FAP,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U058,target,1FAP,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U059,target,1HIH,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U060,target,1HIH,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U061,target,1HSG,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U062,target,1HSG,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U063,target,1SHL,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U064,target,1SHL,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U065,target,1TCO,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U066,target,1TCO,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U067,target,3DJI,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U068,target,3DJI,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U069,target,4W9H,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U070,target,4W9H,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U071,target,5J89,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U072,target,5J89,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U073,target,5LGE,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U074,target,5LGE,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U075,target,5NIU,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U076,target,5NIU,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U077,target,5TBM,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U078,target,5TBM,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U079,target,6E3S,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U080,target,6E3S,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U081,target,6R3K,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U082,target,6R3K,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U083,target,6WKQ,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U084,target,6WKQ,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U085,target,7BEA,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U086,target,7BEA,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U087,target,7JRA,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U088,target,7JRA,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U089,target,7O2I,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U090,target,7O2I,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U091,target,8EA7,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U092,target,8EA7,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U093,target,8P1O,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U094,target,8P1O,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U095,target,8SE5,,formal_interface_energetics_not_available,PISA_or_equivalent_fields_NA,"PISA interface area, buried SASA, DeltaG, hydrogen bonds, salt bridges, and hotspot annotation",O_rel uses only the declared 5 A heavy-atom interface proxy; missing fields are not treated as zero
U096,target,8SE5,,crystal_contact_risk_not_evaluable,no_generated_crystal_mates,Symmetry-expanded crystal-contact analysis if this question is important for the target,No positive or negative crystal-contact claim is made
U097,target,1SHL,,pocket_archetype_assignment_provisional,allosteric,Author confirmation of the four-class pocket archetype,Category-stratified results remain descriptive
U098,target,3DJI,,pocket_archetype_assignment_provisional,interface/PPI,Author confirmation of the four-class pocket archetype,Category-stratified results remain descriptive
U099,target,7JRA,,pocket_archetype_assignment_provisional,complex-dependent,Author confirmation of the four-class pocket archetype,Category-stratified results remain descriptive
